model,quant,provider,size_gib,params,model_type,mmproj,fit_target,ctx,ngl,ubatch,moe_cpu,pp1024_tps,pp1024_stddev_tps,tg128_tps,tg128_stddev_tps,reps,vfit_target,vctx,vngl,vubatch,vpp1024_tps,vpp1024_stddev_tps,vtg128_tps,vtg128_stddev_tps,vreps,vision,reason,switch,effort
Qwen3.6-35B-A3B,UD-Q5_K_M,unsloth,24.63,34.7B,MoE,860M,128,175k,41,1024,yes(40),462.3,5.4,32.1,1.1,5,512,125k,41,1024,558.2,14.9,33.3,1.8,5,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q5_K_XL,unsloth,24.76,34.7B,MoE,860M,128,175k,41,1024,yes(40),568.8,33.7,32.1,0.5,5,512,125k,41,1024,585.7,11.0,30.7,0.0,5,yes,yes,yes,-
Qwen3.6-35B-A3B,Q6_K,bartowski,27.98,34.7B,MoE,860M,128,175k,41,1024,yes(40),380.0,6.1,33.7,0.1,5,512,125k,41,1024,522.7,4.4,34.6,0.0,5,yes,yes,yes,-
Qwen3.6-35B-A3B,Q6_K,AesSedai,27.10,34.7B,MoE,585M,128,175k,41,1024,yes(40),521.0,14.3,28.2,1.5,5,512,125k,41,1024,550.0,4.7,29.5,0.1,5,yes,yes,yes,-
Qwen3.6-35B-A3B,Q6_K_L,bartowski,28.21,34.7B,MoE,860M,128,175k,41,1024,yes(40),396.6,8.7,33.4,0.1,5,512,125k,41,1024,521.5,4.3,33.4,0.4,5,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q6_K,unsloth,27.29,34.7B,MoE,860M,128,175k,41,1024,yes(40),530.7,12.6,33.7,0.2,5,512,125k,41,1024,541.5,8.3,29.3,0.2,5,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q6_K_XL,unsloth,29.65,34.7B,MoE,860M,128,150k,41,1024,yes(40),340.8,33.8,32.3,0.3,5,512,100k,41,1024,501.7,4.6,31.5,0.3,5,yes,yes,yes,-
Qwen3.6-35B-A3B,Q8_0,unsloth,34.36,34.7B,MoE,860M,128,150k,41,1024,yes(40),275.6,6.0,28.2,0.1,5,512,100k,41,1024,429.3,4.0,30.2,0.1,5,yes,yes,yes,-
Qwen3.6-35B-A3B,Q8_0,bartowski,34.37,34.7B,MoE,860M,128,150k,41,1024,yes(40),279.3,6.6,29.3,0.0,5,512,100k,41,1024,430.5,6.4,30.3,0.1,5,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q8_K_XL,unsloth,35.80,34.7B,MoE,860M,128,150k,41,1024,yes(40),258.0,3.1,27.7,0.0,5,512,100k,41,1024,409.9,6.3,29.2,0.1,5,yes,yes,yes,-
Qwen3-Coder-Next,Q4_K_M,unsloth,45.19,79.7B,MoE,,512,125k,49,1024,yes(48),361.6,3.4,33.2,0.2,5,512,,,,,,,,5,no,no,-,-
Qwen3-Coder-Next,Q4_K_M,bartowski,45.38,79.7B,MoE,,512,125k,49,1024,yes(48),362.1,4.4,32.3,0.2,5,512,,,,,,,,5,no,no,-,-
Qwen3-Coder-Next,UD-Q4_K_XL,unsloth,46.20,79.7B,MoE,,512,100k,49,1024,yes(48),362.6,5.2,26.2,0.0,5,512,,,,,,,,5,no,no,-,-
gpt-oss-120b,MXFP4,ggml-org,59.02,116.8B,MoE,,512,75k,37,1024,yes(36),325.1,5.3,22.9,0.1,5,512,,,,,,,,5,no,no,-,low/medium/high
Mistral-Small-4-119B-2603,Q3_K_M,bartowski,50.81,119.0B,MoE,826M,512,125k,37,1024,yes(36),163.4,6.0,23.1,0.1,5,512,75k,37,1024,159.7,15.5,23.2,0.0,5,yes,yes,no,none/high
Mistral-Small-4-119B-2603,UD-Q3_K_M,unsloth,50.63,119.0B,MoE,826M,512,100k,37,1024,yes(36),151.1,5.4,17.8,0.0,5,512,50k,37,1024,150.3,5.3,17.8,0.1,5,yes,yes,no,none/high
Mistral-Small-4-119B-2603,IQ4_XS,bartowski,59.41,119.0B,MoE,826M,512,100k,37,1024,yes(36),132.4,1.2,20.8,0.0,5,512,75k,37,1024,131.6,3.2,20.6,0.3,5,yes,yes,no,none/high
Mistral-Small-4-119B-2603,IQ4_XS,AesSedai,53.09,119.0B,MoE,447M,512,75k,37,1024,yes(36),142.8,2.6,16.5,0.1,5,512,75k,37,1024,143.5,2.9,16.5,0.1,5,yes,yes,no,none/high
Mistral-Small-4-119B-2603,UD-IQ4_XS,unsloth,54.13,119.0B,MoE,826M,512,100k,37,1024,yes(36),140.7,3.1,16.5,0.0,5,512,50k,37,1024,140.4,3.1,16.6,0.1,5,yes,yes,no,none/high
Qwen3.5-122B-A10B,Q3_K_M,unsloth,52.54,122.1B,MoE,870M,512,5k,47,512,yes(46),153.7,0.7,12.9,0.1,5,512,10k,36,512,149.0,0.8,10.6,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q3_K_M,bartowski,52.74,122.1B,MoE,870M,512,40k,49,1024,yes(48),243.0,0.7,17.6,0.0,5,512,5k,49,1024,243.3,1.3,17.7,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q3_K_XL,bartowski,55.50,122.1B,MoE,870M,512,30k,49,1024,yes(48),234.7,0.7,17.3,0.0,5,512,10k,49,512,143.6,1.1,17.3,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,UD-Q3_K_XL,unsloth,53.05,122.1B,MoE,870M,512,5k,46,512,yes(45),152.9,1.1,12.7,0.1,5,512,10k,36,512,148.4,0.9,10.5,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,IQ4_XS,bartowski,61.31,122.1B,MoE,870M,512,40k,49,1024,yes(48),194.3,18.3,16.3,0.1,5,512,20k,49,512,90.8,20.3,16.3,0.1,5,yes,yes,yes,-
Qwen3.5-122B-A10B,IQ4_XS,AesSedai,56.29,122.1B,MoE,590M,512,5k,42,512,yes(41),146.8,1.1,11.1,0.0,5,512,5k,36,512,143.2,0.7,10.0,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,UD-IQ4_XS,unsloth,56.08,122.1B,MoE,870M,512,5k,46,512,yes(45),145.7,0.7,12.1,0.1,5,512,20k,35,512,140.7,0.3,10.0,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q4_K_S,unsloth,66.77,122.1B,MoE,870M,512,5k,44,512,yes(43),104.7,13.5,12.9,0.0,5,512,5k,35,512,100.4,11.8,10.7,0.1,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q4_K_S,bartowski,67.24,122.1B,MoE,870M,512,20k,49,1024,yes(48),162.3,40.4,15.7,0.1,5,512,5k,47,512,97.8,18.7,15.0,0.1,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q4_K_M,unsloth,71.27,122.1B,MoE,870M,512,5k,42,512,yes(41),87.1,19.2,11.8,0.1,5,512,10k,32,512,76.9,13.9,9.9,0.0,5,yes,yes,yes,-
Qwen3.5-122B-A10B,Q4_K_M,bartowski,69.83,122.1B,MoE,870M,512,5k,49,1024,yes(48),154.7,45.1,15.1,0.1,5,512,10k,43,512,94.6,14.4,13.2,0.2,5,yes,yes,yes,-
